iso3,pays,viande_de_volailles__disponibilité_alimentaire_en_quantité,viande_de_volailles__importations_quantité,viande_de_volailles__production,population_2017_milliers,pib_par_hab_usd,stabilite_politique,croissance_pib,inflation,fe_taux_dependance_import,fe_intensite_proteique,fe_potentiel_marche_musd,fe_import_par_hab,fe_croissance_pop_10ans
AFG,Afghanistan,1.53,29.0,28.0,36296.113,525.469770891619,-2.61393089999999,2.6470032027451,4.97595150553832,50.87719298245614,10.8,0.029180940579020462,0.7989836267040497,33.93134733571321
ZAF,South Africa,35.69,514.0,1667.0,57009.756,6618.33508255701,-0.3828321,1.15794695181735,5.18618655524149,24.268177525967893,9.867132867132867,13.466182057444666,9.016000699950373,16.062776285201252
ALB,Albania,16.36,38.0,13.0,2884.169,5006.36012951959,0.1638298,3.28317593330073,1.98666133171194,74.50980392156863,7.364705882352942,0.23622512694216488,13.175372178260012,-4.93833549000362
DZA,Algeria,6.38,2.0,275.0,41389.189,4554.66753957828,-0.929504599999999,1.49999999895587,5.59111590961663,0.7220216606498195,8.954545454545453,1.2027192921051753,0.048321797269330405,21.1380071959552
DEU,Germany,19.47,842.0,1514.0,82658.409,45553.9341495339,0.7022243,2.797906720551,1.50949485109628,49.239766081871345,11.211267605633802,73.31264407796445,10.186501412094685,1.698592346769101
AGO,Angola,10.56,277.0,42.0,29816.766,2790.71886869768,-0.537214499999999,-0.149396225571834,29.8444799015679,86.83385579937304,10.285714285714285,0.878699833226091,9.290075254975674,42.62735356472882
ATG,Antigua and Barbuda,54.1,7.0,0.0,95.426,16965.7288273816,0.614623,2.71272657973627,2.43248789041362,100.0,7.626609442060086,0.08758636567432088,73.35527005218704,13.567229190964714
SAU,Saudi Arabia,43.36,722.0,616.0,33101.179,23929.2907135982,-0.667506399999999,1.18210705878283,-0.834845735027162,54.36746987951807,10.311258278145695,34.344924200607004,21.811911895947876,31.434221480693125
ARG,Argentina,42.24,8.0,2161.0,43937.14,14532.5009308511,0.2394066,2.81850297775918,2.40636194047246,0.4077471967380224,7.434065934065933,26.970938140563018,0.18207830550645765,10.716695357697548
ARM,Armenia,16.06,35.0,11.0,2944.791,3869.05373867752,-0.3015882,7.50000000164144,0.969553268816137,76.08695652173913,10.074074074074074,0.18298048732847302,11.885393564432926,0.4150898616867238
AUS,Australia,47.65,16.0,1269.0,24584.62,54117.547718609,0.7831479,2.29331030192918,1.94864309065653,1.2872083668543846,8.645833333333334,63.39638783660786,0.6508133947158834,17.53784504596021
AUT,Austria,18.2,110.0,148.0,8819.901,47163.7425775142,0.9266955,2.27224992038207,2.08126911385586,61.111111111111114,11.523076923076923,7.570827633881513,12.471795318337474,6.08828496739795
AZE,Azerbaijan,13.11,27.0,104.0,9845.32,4147.1981423222,-0.455635299999999,0.153614661745507,12.9359184187334,20.610687022900763,10.113636363636363,0.5352877607989812,2.7424197486724657,12.850134962999071
BHS,"Bahamas, The",43.17,24.0,6.0,381.755,31875.4881749619,0.8186672,3.3713988456489,1.51820700736147,80.0,8.027472527472527,0.5253196270820005,62.86754593914946,13.149806306666779
BGD,Bangladesh,1.5,0.0,249.0,159685.424,1811.08221668646,-1.3289506,6.59024999794057,5.70207015717238,0.0,6.714285714285714,0.4338051475056559,0.0,11.933971069864558
BRB,Barbados,46.78,2.0,15.0,286.232,20284.5762052461,0.8399905,0.708386729317951,4.66018463955995,11.764705882352942,7.703517587939698,0.2716091155102565,6.98733894183739,2.7025475421600387
BEL,Belgium,12.65,338.0,463.0,11419.748,44035.3239358548,0.3647602,1.47446761556785,2.12597086002616,100.0,10.386363636363637,6.36133462593975,29.59785102088067,6.750840284131754
BLZ,Belize,25.69,0.0,20.0,375.769,6071.85451846453,0.0274572,-1.83323729057784,1.14765339305816,0.0,7.509090909090908,0.05861468165710119,0.0,25.664743750522547
BOL,Bolivia,36.0,1.0,533.0,11192.855,4048.40119739839,-0.2207409,4.19520633360403,2.8227580554717,0.18761726078799248,7.374193548387097,1.6312740330350362,0.08934271014857247,17.099193707257008
BIH,Bosnia and Herzegovina,16.7,10.0,61.0,3351.525,5345.01978766473,-0.3110983,3.24409895306594,0.810133321953038,15.873015873015873,10.107142857142858,0.29916325631234564,2.983716367922065,-10.929694114945676
BWA,Botswana,3.39,3.0,5.0,2205.08,7104.96401088027,1.0166207,4.11437856445083,3.30828076768219,37.5,9.916666666666666,0.05311117759936923,1.3604948573294393,17.575484188137413
BRA,Brazil,48.03,3.0,14201.0,207833.823,10080.5078722821,-0.602133799999999,1.32286905390815,3.44637335032669,0.03005710850616171,7.686274509803921,100.6262355808096,0.014434609134818253,9.311175906743152
BGR,Bulgaria,22.06,108.0,107.0,7102.444,8696.68930427924,0.4061393,2.74592676054861,2.06159619443141,63.529411764705884,10.790123456790123,1.3625965378450724,15.206033303465679,-6.2590541071330446
BFA,Burkina Faso,2.27,0.0,46.0,19193.234,709.091535894695,-0.855665599999999,6.20348941121868,1.48299897161325,0.0,9.625,0.030894154691171054,0.0,34.670261852687425
BLR,Belarus,27.98,21.0,463.0,9450.231,5785.54491935194,0.0265511,2.53218349471909,6.03183725177785,6.325301204819277,9.905263157894737,1.5297991118460865,2.222167902562382,-0.31943412356817413
BEN,Benin,14.4,123.0,18.0,11175.198,1054.97408066814,0.3155886,5.67156195150444,0.0432648555103608,87.23404255319149,13.459459459459461,0.1697694370032159,11.006516394608846,32.175891237077
CPV,Cabo Verde,17.62,12.0,1.0,537.498,3893.09571382506,0.7203252,4.5513148102974,0.784415251101334,92.3076923076923,10.516129032258064,0.03687039903901574,22.325664467588716,13.143181913863522
KHM,Cambodia,2.34,10.0,28.0,16009.409,1826.35391688754,-0.153852799999999,8.07503915535979,2.91263557371478,26.31578947368421,6.7272727272727275,0.06841890159203885,0.6246326769464132,17.0281686454977
CMR,Cameroon,3.16,0.0,81.0,24566.073,1496.08951771242,-1.1934513,3.54117654926007,0.64040914988195,0.0,9.727272727272727,0.11613962000903962,0.0,31.156984182085456
CAN,Canada,39.02,182.0,1417.0,36732.095,45129.628116623,1.0192144,3.03383491200222,1.59688412852976,12.674094707520892,9.0,64.68367982023011,4.954794982426131,11.543301992657696
CHL,Chile,36.36,155.0,712.0,18470.439,14879.9086227187,0.5894191,1.35769537343957,2.18271846868519,20.611702127659573,7.980392156862745,9.993125843528931,8.391787547659263,11.737574783600557
HKG,"Hong Kong SAR, China",53.51,907.0,24.0,7306.322,46160.429791493,0.6833963,3.79611114629799,1.49387243939522,100.0,10.600000000000001,18.046941188391827,124.13906750893267,6.8173388508650845
MAC,"Macao SAR, China",34.47,23.0,3.0,622.585,77570.9876166977,1.3135357,9.91855844513513,1.22812404052809,88.46153846153847,8.380281690140844,1.6647125637245297,36.94274677353293,23.40365224940586
TWN,"Chine, Taiwan Province de",33.17,161.0,652.0,23674.546,6025.22737479042,1.0259424,3.39894872623931,2.40636194047246,20.0,8.738095238095237,4.731518816132495,6.800552796239472,3.2595803720600003
CHN,China,12.33,452.0,18236.0,1421021.791,8979.67652709856,-0.203288,6.8912663621211,1.59313600071435,2.495583038869258,6.711864406779661,157.3346965406347,0.31808097726771595,5.574163721611192
CYP,Cyprus,25.08,14.0,25.0,1179.678,26247.44921875,0.6738103,5.75083236554525,0.531766496174467,36.8421052631579,10.527472527472527,0.7765655430588723,11.867645238785498,10.901906811329765
COL,Colombia,31.99,78.0,1564.0,48909.839,6479.53231292429,-0.779948499999999,1.35936086788746,4.3143132569501,4.7560975609756095,8.621621621621623,10.138043102231384,1.5947711461491418,11.825827054284455
COG,"Congo, Rep.",21.53,104.0,7.0,5110.695,2211.63309874797,-0.7695685,-5.59477371915547,0.450063823285546,93.69369369369369,10.347222222222223,0.24335320718811196,20.349482800284502,31.850828109250507
CRI,Costa Rica,26.52,17.0,133.0,4949.954,12317.0902771304,0.7405908,4.1576989627609,1.62590692991731,11.564625850340136,8.619565217391303,1.6168986831752452,3.434375349750725,12.380750428867081
HRV,Croatia,10.77,24.0,61.0,4182.857,13901.7878144679,0.6251591,3.28396321643012,1.12937210282347,35.294117647058826,10.972972972972972,0.6262667813862591,5.737705113992661,-4.116264665578296
CUB,Cuba,23.72,312.0,29.0,11339.254,8610.60829605429,0.5729674,1.80979178380274,2.40636194047246,91.49560117302053,8.682926829268293,2.315970384645432,27.51503758536496,0.7833174326969505
CIV,Cote d'Ivoire,2.53,7.0,58.0,24437.47,1964.29930338343,-1.0411412,7.41076242592504,0.685881065304603,10.76923076923077,10.75,0.12144633840255727,0.286445364434207,27.46944811125125
DNK,Denmark,28.98,133.0,173.0,5732.274,57521.5514992225,0.9149035,3.05647723922718,1.14713216957601,79.64071856287426,11.580357142857144,9.555554942978999,23.201961385656023,4.796284992050159
DJI,Djibouti,2.68,3.0,0.0,944.099,2618.95521147369,-0.7552217,5.458091517212,0.57728572456066,100.0,10.222222222222223,0.006626442029808227,3.177632854181606,17.213710082922496
DMA,Dominica,35.19,4.0,0.0,71.458,8224.64896571414,1.1093885,-7.5443637547282,0.296252889279486,100.0,7.68,0.020681760026220512,55.97693750174928,0.9365068154530531
SLV,El Salvador,20.43,16.0,136.0,6388.126,4020.12671373919,-0.3360373,2.24761908134138,1.0123540331558,10.666666666666666,8.80281690140845,0.5246643823394703,2.504646902706678,4.623727236844899
ESP,Spain,30.39,205.0,1515.0,46647.428,28381.3425596906,0.280621,2.89604207865007,1.95607633363963,13.594164456233422,11.876190476190477,40.23382649499772,4.394668876491969,2.6818771308489753
EST,Estonia,21.26,21.0,20.0,1319.39,20851.5223496861,0.8425161,5.63467248963991,3.41723549488054,70.0,8.453488372093023,0.5848900269509668,15.91644623651839,-1.852716961145462
SWZ,Eswatini,6.46,2.0,6.0,1124.805,3853.09956569679,-0.380332699999999,3.52095345987983,6.22137528933118,25.0,10.136363636363637,0.027997547344178513,1.7780859793475312,7.879234874147856
FJI,Fiji,28.02,3.0,23.0,877.459,5826.84814459328,0.3819841,5.35336455965039,3.34757834757831,11.538461538461538,9.731958762886597,0.14326122609790903,3.4189631652305126,4.935361580502029
FIN,Finland,18.76,16.0,129.0,5511.371,46085.0174739036,1.1388152,3.30337003591039,0.754015047084346,12.030075187969924,11.573529411764707,4.764882957041506,2.9030889047389477,4.032512737981242
FRA,France,22.9,506.0,1750.0,64842.509,38687.1626407164,0.229972,2.08361485997399,1.03228275064681,28.83190883190883,9.728260869565217,57.44631464027618,7.803522840240498,4.805752623998361
RUS,Russian Federation,30.98,226.0,4444.0,145530.082,10658.9130859375,-0.5386198,1.82579006401834,3.68333072334495,4.961580680570801,10.038461538461538,48.05594350833953,1.552943535069265,1.5801841679181194
GAB,Gabon,29.33,76.0,4.0,2064.823,6921.73373135624,-0.4524644,0.472642030911146,2.65192583143902,95.0,10.696969696969697,0.41918890639579076,36.80702898020799,40.21852876763492
GMB,"Gambia, The",3.53,16.0,2.0,2213.889,642.522641296331,-0.196953699999999,4.8226112492757,8.03418974545911,88.88888888888889,10.333333333333334,0.005021332541593632,7.227101268401442,35.00574443485007
GHA,Ghana,7.24,151.0,60.0,29121.465,2012.28662641265,0.0663948999999999,8.12889488100956,12.3719215507048,71.56398104265404,14.124999999999998,0.42426931822195907,5.185178698942515,26.813854204325338
