iso3,pays,devise,taux_pour_1_eur
AFG,Afghanistan,AFN,75.2996
ZAF,South Africa,ZAR,18.657021
ALB,Albania,ALL,92.94617
DZA,Algeria,DZD,153.291211
DEU,Germany,EUR,1.0
AGO,Angola,AOA,1094.572747
ATG,Antigua and Barbuda,XCD,3.113645
SAU,Saudi Arabia,SAR,4.324507
ARG,Argentina,ARS,1720.391106
ARM,Armenia,AMD,422.052349
AUS,Australia,AUD,1.633915
AUT,Austria,EUR,1.0
AZE,Azerbaijan,AZN,1.960397
BHS,"Bahamas, The",BSD,1.153202
BGD,Bangladesh,BDT,141.691792
BRB,Barbados,BBD,2.306404
BEL,Belgium,EUR,1.0
BLZ,Belize,BZD,2.306404
BOL,Bolivia,BOB,13.575897
BIH,Bosnia and Herzegovina,BAM,1.95583
BWA,Botswana,BWP,16.145568
BRA,Brazil,BRL,5.978118
BGR,Bulgaria,BGN,1.95583
BFA,Burkina Faso,XOF,655.957
BLR,Belarus,BYN,3.459268
BEN,Benin,XOF,655.957
CPV,Cabo Verde,CVE,110.265
KHM,Cambodia,KHR,4658.078947
CMR,Cameroon,XAF,655.957
CAN,Canada,CAD,1.606982
CHL,Chile,CLP,1054.08135
HKG,"Hong Kong SAR, China",HKD,9.050405
MAC,"Macao SAR, China",MOP,9.321654
TWN,"Chine, Taiwan Province de",TWD,37.057705
CHN,China,CNY,7.787336
CYP,Cyprus,EUR,1.0
COL,Colombia,COP,3623.296468
COG,"Congo, Rep.",XAF,655.957
CRI,Costa Rica,CRC,520.813688
HRV,Croatia,EUR,1.0
CUB,Cuba,CUP,27.676844
CIV,Cote d'Ivoire,XOF,655.957
DNK,Denmark,DKK,7.475356
DJI,Djibouti,DJF,204.948181
DMA,Dominica,XCD,3.113645
SLV,El Salvador,USD,1.153211
ESP,Spain,EUR,1.0
EST,Estonia,EUR,1.0
SWZ,Eswatini,SZL,18.660862
FJI,Fiji,FJD,2.548347
FIN,Finland,EUR,1.0
FRA,France,EUR,1.0
RUS,Russian Federation,RUB,96.280877
GAB,Gabon,XAF,655.957
GMB,"Gambia, The",GMD,86.109909
GHA,Ghana,GHS,12.830055
GRD,Grenada,XCD,3.113645
GRC,Greece,EUR,1.0
GTM,Guatemala,GTQ,8.799439
GIN,Guinea,GNF,10126.540374
GNB,Guinea-Bissau,XOF,655.957
GUY,Guyana,GYD,240.989789
GEO,Georgia,GEL,3.016123
HTI,Haiti,HTG,150.708387
HND,Honduras,HNL,30.942349
HUN,Hungary,HUF,363.199231
IND,India,INR,110.066992
IDN,Indonesia,IDR,20600.681457
IRN,"Iran, Islamic Rep.",IRR,1587106.801125
IRQ,Iraq,IQD,1512.880342
IRL,Ireland,EUR,1.0
ISL,Iceland,ISK,142.150006
ISR,Israel,ILS,3.430344
ITA,Italy,EUR,1.0
JAM,Jamaica,JMD,181.424699
JPN,Japan,JPY,183.840909
JOR,Jordan,JOD,0.81762
KAZ,Kazakhstan,KZT,536.396238
KEN,Kenya,KES,149.116447
KGZ,Kyrgyz Republic,KGS,100.885085
KIR,Kiribati,AUD,1.633915
KWT,Kuwait,KWD,0.355369
LSO,Lesotho,ZAR,18.657021
LVA,Latvia,EUR,1.0
LBN,Lebanon,LBP,103211.563007
LBR,Liberia,LRD,209.543005
LTU,Lithuania,EUR,1.0
LUX,Luxembourg,EUR,1.0
MKD,North Macedonia,MKD,61.497
MDG,Madagascar,MGA,4936.670373
MYS,Malaysia,MYR,4.713516
MWI,Malawi,MWK,2011.412267
MDV,Maldives,MVR,17.825469
MLI,Mali,XOF,655.957
MLT,Malta,EUR,1.0
MAR,Morocco,MAD,10.724323
MUS,Mauritius,MUR,54.324135
MRT,Mauritania,MRU,46.342977
MEX,Mexico,MXN,19.652944
MNG,Mongolia,MNT,4185.223301
MNE,Montenegro,EUR,1.0
MOZ,Mozambique,MZN,73.557555
MMR,Myanmar,MMK,2423.039164
NAM,Namibia,ZAR,18.657021
NIC,Nicaragua,NIO,42.443759
NER,Niger,XOF,655.957
NGA,Nigeria,NGN,1568.677261
NOR,Norway,NOK,10.967411
NCL,New Caledonia,XPF,119.332
NZL,New Zealand,NZD,1.971489
NPL,Nepal,NPR,176.094506
OMN,Oman,OMR,0.443403
UGA,Uganda,UGX,4235.416609
UZB,Uzbekistan,UZS,13726.353622
PAK,Pakistan,PKR,320.351716
PAN,Panama,PAB,1.153202
PRY,Paraguay,PYG,6905.721017
NLD,Netherlands,EUR,1.0
PHL,Philippines,PHP,70.718104
POL,Poland,PLN,4.307428
PYF,French Polynesia,XPF,119.332
PRT,Portugal,EUR,1.0
PER,Peru,PEN,3.888985
ROU,Romania,RON,5.243539
GBR,United Kingdom,GBP,0.854841
RWA,Rwanda,RWF,1698.192854
CAF,Central African Republic,XAF,655.957
KOR,"Korea, Rep.",KRW,1635.986456
MDA,Moldova,MDL,19.961634
DOM,Dominican Republic,DOP,67.397337
LAO,Lao PDR,LAK,25773.119635
PRK,"Korea, Dem. People's Rep.",KPW,
TZA,Tanzania,TZS,3026.629822
KNA,St. Kitts and Nevis,XCD,3.113645
VCT,St. Vincent and the Grenadines,XCD,3.113645
LCA,St. Lucia,XCD,3.113645
WSM,Samoa,WST,3.108241
STP,Sao Tome and Principe,STN,24.5
SRB,Serbia,RSD,117.327677
SLE,Sierra Leone,SLE,28.425278
SVK,Slovak Republic,EUR,1.0
SVN,Slovenia,EUR,1.0
SDN,Sudan,SDG,515.304221
LKA,Sri Lanka,LKR,384.559833
CHE,Switzerland,CHF,0.938243
SUR,Suriname,SRD,43.501352
SWE,Sweden,SEK,11.02659
SEN,Senegal,XOF,655.957
TJK,Tajikistan,TJS,10.653719
TCD,Chad,XAF,655.957
CZE,Czechia,CZK,24.229061
THA,Thailand,THB,38.23949
TLS,Timor-Leste,USD,1.153211
TGO,Togo,XOF,655.957
TTO,Trinidad and Tobago,TTD,8.262841
TUN,Tunisia,TND,3.381715
TKM,Turkmenistan,TMT,4.037544
TUR,Turkiye,TRY,55.152629
UKR,Ukraine,UAH,51.543933
URY,Uruguay,UYU,46.26447
VUT,Vanuatu,VUV,136.755488
VEN,"Venezuela, RB",VES,889.453992
VNM,Viet Nam,VND,30029.698535
YEM,"Yemen, Rep.",YER,273.469879
ZMB,Zambia,ZMW,21.643835
ZWE,Zimbabwe,USD,1.153211
EGY,"Egypt, Arab Rep.",EGP,57.882233
ARE,United Arab Emirates,AED,4.235134
ECU,Ecuador,USD,1.153211
USA,United States,USD,1.153211
ETH,Ethiopia,ETB,187.841443
SLB,Solomon Islands,SBD,9.137227
