iso3,pays_bm,pib_par_hab_usd,croissance_pib,inflation,stabilite_politique,part_urbaine_pct
AFG,Afghanistan,556.3,2.65,4.98,-2.78,25.0
ALB,Albania,4541.45,3.84,1.99,0.32,59.4
DZA,Algeria,4111.21,1.31,5.59,-0.95,72.2
AGO,Angola,4170.32,-0.15,29.84,-0.46,65.1
ARG,Argentina,14613.04,2.82,25.68,0.05,91.7
ARM,Armenia,3914.5,7.5,1.0,-0.62,63.2
AUS,Australia,54027.84,2.4,1.95,1.04,86.0
AUT,Austria,47326.62,2.46,2.08,1.1,58.3
AZE,Azerbaijan,4147.09,0.23,12.93,-0.54,55.4
BHS,Bahamas,30924.85,3.13,1.45,0.69,82.9
BHR,Bahrain,24579.38,4.3,1.42,-1.07,89.3
BGD,Bangladesh,1563.97,7.59,5.45,-0.95,35.9
BRB,Barbados,16329.86,0.5,4.41,1.04,31.1
BLR,Belarus,5762.74,2.45,6.04,-0.18,78.4
BEL,Belgium,43603.1,1.99,2.13,0.62,98.0
BLZ,Belize,4937.92,1.95,1.15,0.36,45.7
BEN,Benin,1162.2,5.69,1.8,-0.05,47.0
BTN,Bhutan,3097.61,4.63,4.96,1.18,40.1
BOL,Bolivia,3393.86,4.2,2.83,-0.32,69.4
BIH,Bosnia and Herzegovina,5621.35,3.16,1.21,-0.17,48.4
BWA,Botswana,7595.59,4.06,3.28,1.04,69.2
BRA,Brazil,9928.09,1.32,3.45,-0.46,86.4
BRN,Brunei Darussalam,28571.93,1.33,-1.27,1.25,77.5
BGR,Bulgaria,8338.43,3.45,2.06,0.27,74.6
BFA,Burkina Faso,663.34,6.2,0.4,-0.97,28.7
BDI,Burundi,271.32,0.5,16.06,-1.32,12.9
KHM,Cambodia,1389.84,6.9,2.9,-0.03,23.4
CMR,Cameroon,1455.37,3.5,0.65,-1.42,55.8
CAN,Canada,45148.92,3.04,1.6,1.02,81.4
CPV,Cabo Verde,3318.07,4.55,0.79,0.83,65.3
CAF,Central African Republic,454.55,4.31,4.13,-2.5,41.4
TCD,Chad,696.49,-3.09,-0.91,-1.62,22.9
CHL,Chile,15155.32,1.2,2.18,0.42,87.4
CHN,China,8759.04,6.9,1.59,-0.4,57.9
COL,Colombia,6376.34,1.4,4.31,-0.86,80.4
COM,Comoros,1424.71,4.2,0.1,-0.62,29.0
COD,"Congo, The Democratic Republic of the",457.85,3.7,35.75,-1.92,43.7
COG,Congo,2148.57,-1.8,0.45,-0.71,66.5
CRI,Costa Rica,11710.86,4.2,1.63,0.66,79.1
CIV,Cote d'Ivoire,1701.4,7.4,0.4,-0.92,50.8
HRV,Croatia,13507.42,3.4,1.13,0.66,57.0
CUB,Cuba,8541.38,1.75,0.59,0.49,77.0
CYP,Cyprus,26239.09,4.68,0.52,0.42,66.7
CZE,Czechia,20382.82,5.2,2.45,1.07,73.7
DNK,Denmark,57637.86,2.83,1.13,1.01,87.9
DJI,Djibouti,2089.29,5.5,0.65,-0.65,77.8
DOM,Dominican Republic,7565.34,4.71,3.28,0.0,80.2
ECU,Ecuador,6213.49,2.37,0.42,-0.5,63.6
EGY,"Egypt, Arab Republic of",2412.73,4.18,29.51,-1.26,42.7
SLV,El Salvador,3624.18,2.3,1.04,-0.41,71.4
EST,Estonia,20176.3,5.5,3.42,0.66,68.6
SWZ,Eswatini,4220.84,2.0,6.21,-0.18,23.8
ETH,Ethiopia,729.52,9.56,9.86,-1.4,20.4
FJI,Fiji,6157.68,5.43,3.28,0.94,55.7
FIN,Finland,46412.69,3.2,0.75,1.04,84.9
FRA,France,38812.59,2.29,1.03,0.42,80.4
GAB,Gabon,7964.2,0.5,2.69,-0.49,88.2
GMB,Gambia,738.32,4.81,8.04,-0.49,60.4
GEO,Georgia,4358.59,4.78,6.0,-0.36,58.4
DEU,Germany,44552.82,2.71,1.51,0.84,77.3
GHA,Ghana,2046.23,8.13,12.37,-0.04,55.4
GRC,Greece,18613.97,1.1,1.13,-0.21,79.0
GRD,Grenada,10238.55,4.4,0.94,1.18,36.4
GTM,Guatemala,4471.0,3.0,4.41,-0.49,51.0
GIN,Guinea,818.1,10.3,8.93,-0.99,36.3
GNB,Guinea-Bissau,709.48,4.51,1.07,-0.74,43.0
GUY,Guyana,5060.91,2.13,1.94,0.26,26.7
HTI,Haiti,764.84,1.16,14.69,-1.06,55.4
HND,Honduras,2480.66,4.78,3.93,-0.37,57.1
HUN,Hungary,14222.26,4.3,2.39,0.66,71.4
ISL,Iceland,73091.95,4.65,1.81,1.41,93.9
