iso3,pays,devise,taux_pour_1_eur
AFG,Afghanistan,AFN,74.942984
ZAF,South Africa,ZAR,19.096906
ALB,Albania,ALL,93.676976
DZA,Algeria,DZD,151.9249
DEU,Germany,EUR,1.0
AGO,Angola,AOA,1075.633401
ATG,Antigua and Barbuda,XCD,3.083753
SAU,Saudi Arabia,SAR,4.28299
ARG,Argentina,ARS,1709.029759
ARM,Armenia,AMD,417.1099
AUS,Australia,AUD,1.644044
AUT,Austria,EUR,1.0
AZE,Azerbaijan,AZN,1.936708
BHS,"Bahamas, The",BSD,1.142131
BGD,Bangladesh,BDT,140.284987
BRB,Barbados,BBD,2.284262
BEL,Belgium,EUR,1.0
BLZ,Belize,BZD,2.284262
BOL,Bolivia,BOB,12.95544
BIH,Bosnia and Herzegovina,BAM,1.95583
BWA,Botswana,BWP,16.215335
BRA,Brazil,BRL,5.834296
BGR,Bulgaria,BGN,1.95583
BFA,Burkina Faso,XOF,655.957
BLR,Belarus,BYN,3.318413
BEN,Benin,XOF,655.957
CPV,Cabo Verde,CVE,110.265
KHM,Cambodia,KHR,4617.342105
CMR,Cameroon,XAF,655.957
CAN,Canada,CAD,1.607414
CHL,Chile,CLP,1063.973913
HKG,"Hong Kong SAR, China",HKD,8.950223
MAC,"Macao SAR, China",MOP,9.218251
TWN,"Chine, Taiwan Province de",TWD,36.91423
CHN,China,CNY,7.738051
CYP,Cyprus,EUR,1.0
COL,Colombia,COP,3651.776316
COG,"Congo, Rep.",XAF,655.957
CRI,Costa Rica,CRC,518.108512
HRV,Croatia,EUR,1.0
CUB,Cuba,CUP,27.411138
CIV,Cote d'Ivoire,XOF,655.957
DNK,Denmark,DKK,7.463618
DJI,Djibouti,DJF,202.980621
DMA,Dominica,XCD,3.083753
SLV,El Salvador,USD,1.142119
ESP,Spain,EUR,1.0
EST,Estonia,EUR,1.0
SWZ,Eswatini,SZL,19.096553
FJI,Fiji,FJD,2.541992
FIN,Finland,EUR,1.0
FRA,France,EUR,1.0
RUS,Russian Federation,RUB,90.388829
GAB,Gabon,XAF,655.957
GMB,"Gambia, The",GMD,84.846204
GHA,Ghana,GHS,13.30796
GRD,Grenada,XCD,3.083753
GRC,Greece,EUR,1.0
GTM,Guatemala,GTQ,8.690752
GIN,Guinea,GNF,10012.765868
GNB,Guinea-Bissau,XOF,655.957
GUY,Guyana,GYD,238.39538
GEO,Georgia,GEL,2.989487
HTI,Haiti,HTG,149.073067
HND,Honduras,HNL,30.552355
HUN,Hungary,HUF,362.644265
IND,India,INR,108.998068
IDN,Indonesia,IDR,20578.077671
IRN,"Iran, Islamic Rep.",IRR,1565785.83138
IRQ,Iraq,IQD,1493.268085
IRL,Ireland,EUR,1.0
ISL,Iceland,ISK,142.367297
ISR,Israel,ILS,3.507948
ITA,Italy,EUR,1.0
JAM,Jamaica,JMD,179.999813
JPN,Japan,JPY,186.90419
JOR,Jordan,JOD,0.809771
KAZ,Kazakhstan,KZT,542.588664
KEN,Kenya,KES,147.479399
KGZ,Kyrgyz Republic,KGS,99.585201
KIR,Kiribati,AUD,1.644044
KWT,Kuwait,KWD,0.352911
LSO,Lesotho,ZAR,19.096906
LVA,Latvia,EUR,1.0
LBN,Lebanon,LBP,102220.7029
LBR,Liberia,LRD,206.547408
LTU,Lithuania,EUR,1.0
LUX,Luxembourg,EUR,1.0
MKD,North Macedonia,MKD,61.497
MDG,Madagascar,MGA,4855.994212
MYS,Malaysia,MYR,4.656341
MWI,Malawi,MWK,1984.771285
MDV,Maldives,MVR,17.616643
MLI,Mali,XOF,655.957
MLT,Malta,EUR,1.0
MAR,Morocco,MAD,10.681595
MUS,Mauritius,MUR,53.976111
MRT,Mauritania,MRU,45.686499
MEX,Mexico,MXN,19.965257
MNG,Mongolia,MNT,4128.363219
MNE,Montenegro,EUR,1.0
MOZ,Mozambique,MZN,72.693864
MMR,Myanmar,MMK,2390.460296
NAM,Namibia,ZAR,19.096906
NIC,Nicaragua,NIO,41.876504
NER,Niger,XOF,655.957
NGA,Nigeria,NGN,1551.701019
NOR,Norway,NOK,10.999471
NCL,New Caledonia,XPF,119.332
NZL,New Zealand,NZD,1.972905
NPL,Nepal,NPR,174.39668
OMN,Oman,OMR,0.439146
UGA,Uganda,UGX,4209.911715
UZB,Uzbekistan,UZS,13795.296136
PAK,Pakistan,PKR,318.092102
PAN,Panama,PAB,1.142131
PRY,Paraguay,PYG,6861.778718
NLD,Netherlands,EUR,1.0
PHL,Philippines,PHP,69.985754
POL,Poland,PLN,4.325793
PYF,French Polynesia,XPF,119.332
PRT,Portugal,EUR,1.0
PER,Peru,PEN,3.87305
ROU,Romania,RON,5.233301
GBR,United Kingdom,GBP,0.857279
