pays,iso3,pib_par_hab_usd,population_2017_milliers,fe_potentiel_marche_musd,fe_taux_dependance_import,stabilite_politique,inflation
United States,USA,59635.0984397965,325084.756,1079.4381721627767,0.6704824202780049,0.1101294,2.13011000365961
China,CHN,8979.67652709856,1421021.791,157.3346965406347,2.495583038869258,-0.203288,1.59313600071435
Brazil,BRA,10080.5078722821,207833.823,100.6262355808096,0.0300571085061617,-0.602133799999999,3.44637335032669
Japan,JPN,38834.0529341227,127502.725,91.60178008005546,32.65119120342089,1.169376,0.484199796126385
United Kingdom,GBR,40916.8115070354,66727.461,87.204981713917,34.87018800358102,0.4406625,2.55775577557747
Germany,DEU,45553.9341495339,82658.409,73.31264407796445,49.23976608187135,0.7022243,1.50949485109628
Canada,CAN,45129.628116623,36732.095,64.68367982023011,12.674094707520892,1.0192144,1.59688412852976
Australia,AUS,54117.547718609,24584.62,63.39638783660786,1.2872083668543846,0.7831479,1.94864309065653
France,FRA,38687.1626407164,64842.509,57.44631464027618,28.83190883190883,0.229972,1.03228275064681
Russian Federation,RUS,10658.9130859375,145530.082,48.05594350833953,4.961580680570801,-0.5386198,3.68333072334495
Spain,ESP,28381.3425596906,46647.428,40.23382649499772,13.594164456233422,0.280621,1.95607633363963
Mexico,MEX,9649.27816772402,124777.324,39.15444124192337,23.07692307692308,-1.0455954,6.04145724018986
Italy,ITA,32844.115660604,60673.701,37.62357412443308,7.89259560618389,0.2543499,1.22653316645812
Saudi Arabia,SAU,23929.2907135982,33101.179,34.344924200607004,54.36746987951807,-0.667506399999999,-0.834845735027162
"Korea, Rep.",KOR,33296.9845439195,51096.415,28.412654226428423,14.13828689370485,0.6254761,1.94433230786366
Argentina,ARG,14532.5009308511,43937.14,26.970938140563018,0.4077471967380224,0.2394066,2.40636194047246
Israel,ISR,41138.470964272,8243.848,22.854597533602337,0.0,-0.4501475,0.249807840123008
Netherlands,NLD,49513.6817346384,17021.347,17.13391171521428,100.0,0.7820237,1.38145871407216
Poland,POL,13913.3402919927,37953.18,16.000081907648518,3.982621288921072,0.6020499,2.07593553673859
South Africa,ZAF,6618.33508255701,57009.756,13.466182057444666,24.268177525967893,-0.3828321,5.18618655524149
Malaysia,MYS,9862.54806612235,31104.646,12.028493507847584,3.8901601830663615,-0.011848,3.87120115774237
